raw_id	accession	bp_id	contributors	model	owner_abbreviation	owner_text	owner_url	package	package_name	paragraph	prefixed_id	primary_id	samp_name	sra_id	status	status_date	synonym	table_caption	taxonomy_id	taxonomy_name	title
13478077	SAMEA104726345			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726345	SAMEA104726345		ERS2327728		2019-12-07T11:11:49.677			410658	soil metagenome	Crete soil metagenome
13478073	SAMEA104726341			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726341	SAMEA104726341		ERS2327724		2019-12-07T11:11:49.537			410658	soil metagenome	Crete soil metagenome
13478074	SAMEA104726342			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726342	SAMEA104726342		ERS2327725		2019-12-07T11:11:49.567			410658	soil metagenome	Crete soil metagenome
13478075	SAMEA104726343			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726343	SAMEA104726343		ERS2327726		2019-12-07T11:11:49.600			410658	soil metagenome	Crete soil metagenome
13478076	SAMEA104726344			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726344	SAMEA104726344		ERS2327727		2019-12-07T11:11:49.647			410658	soil metagenome	Crete soil metagenome
13478128	SAMEA104726397			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726397	SAMEA104726397		ERS2327780		2019-12-07T11:11:51.350			410658	soil metagenome	Crete soil metagenome
13478129	SAMEA104726398			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726398	SAMEA104726398		ERS2327781		2019-12-07T11:11:51.380			410658	soil metagenome	Crete soil metagenome
13478130	SAMEA104726399			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726399	SAMEA104726399		ERS2327782		2019-12-07T11:11:51.410			410658	soil metagenome	Crete soil metagenome
13478131	SAMEA104726400			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726400	SAMEA104726400		ERS2327783		2019-12-07T11:11:51.457			410658	soil metagenome	Crete soil metagenome
13478132	SAMEA104726401			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726401	SAMEA104726401		ERS2327784		2019-12-07T11:11:51.490			410658	soil metagenome	Crete soil metagenome
13478133	SAMEA104726402			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726402	SAMEA104726402		ERS2327785		2019-12-07T11:11:51.567			410658	soil metagenome	Crete soil metagenome
13478134	SAMEA104726403			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726403	SAMEA104726403		ERS2327786		2019-12-07T11:11:51.600			410658	soil metagenome	Crete soil metagenome
13478135	SAMEA104726404			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726404	SAMEA104726404		ERS2327787		2019-12-07T11:11:51.647			410658	soil metagenome	Crete soil metagenome
13478136	SAMEA104726405			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726405	SAMEA104726405		ERS2327788		2019-12-07T11:11:51.677			410658	soil metagenome	Crete soil metagenome
13478137	SAMEA104726406			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726406	SAMEA104726406		ERS2327789		2019-12-07T11:11:51.707			410658	soil metagenome	Crete soil metagenome
13478138	SAMEA104726407			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726407	SAMEA104726407		ERS2327790		2019-12-07T11:11:51.740			410658	soil metagenome	Crete soil metagenome
13478139	SAMEA104726408			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726408	SAMEA104726408		ERS2327791		2019-12-07T11:11:51.787			410658	soil metagenome	Crete soil metagenome
13478140	SAMEA104726409			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726409	SAMEA104726409		ERS2327792		2019-12-07T11:11:51.817			410658	soil metagenome	Crete soil metagenome
13478141	SAMEA104726410			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726410	SAMEA104726410		ERS2327793		2019-12-07T11:11:51.850			410658	soil metagenome	Crete soil metagenome
13478142	SAMEA104726411			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726411	SAMEA104726411		ERS2327794		2019-12-07T11:11:51.880			410658	soil metagenome	Crete soil metagenome
13478143	SAMEA104726412			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726412	SAMEA104726412		ERS2327795		2019-12-07T11:11:51.910			410658	soil metagenome	Crete soil metagenome
13478144	SAMEA104726413			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726413	SAMEA104726413		ERS2327796		2019-12-07T11:11:51.943			410658	soil metagenome	Crete soil metagenome
13478145	SAMEA104726414			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726414	SAMEA104726414		ERS2327797		2019-12-07T11:11:51.990			410658	soil metagenome	Crete soil metagenome
13478146	SAMEA104726415			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726415	SAMEA104726415		ERS2327798		2019-12-07T11:11:52.037			410658	soil metagenome	Crete soil metagenome
13478147	SAMEA104726416			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726416	SAMEA104726416		ERS2327799		2019-12-07T11:11:52.067			410658	soil metagenome	Crete soil metagenome
13478148	SAMEA104726417			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726417	SAMEA104726417		ERS2327800		2019-12-07T11:11:52.100			410658	soil metagenome	Crete soil metagenome
13478149	SAMEA104726418			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726418	SAMEA104726418		ERS2327801		2019-12-07T11:11:52.147			410658	soil metagenome	Crete soil metagenome
13478150	SAMEA104726419			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726419	SAMEA104726419		ERS2327802		2019-12-07T11:11:52.177			410658	soil metagenome	Crete soil metagenome
13478151	SAMEA104726420			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726420	SAMEA104726420		ERS2327803		2019-12-07T11:11:52.207			410658	soil metagenome	Crete soil metagenome
13478152	SAMEA104726421			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726421	SAMEA104726421		ERS2327804		2019-12-07T11:11:52.253			410658	soil metagenome	Crete soil metagenome
13478153	SAMEA104726422			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726422	SAMEA104726422		ERS2327805		2019-12-08T08:12:46.187			410658	soil metagenome	Crete soil metagenome
13478154	SAMEA104726423			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726423	SAMEA104726423		ERS2327806		2019-12-07T11:11:52.287			410658	soil metagenome	Crete soil metagenome
13478155	SAMEA104726424			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726424	SAMEA104726424		ERS2327807		2019-12-07T11:11:52.317			410658	soil metagenome	Crete soil metagenome
13478156	SAMEA104726425			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726425	SAMEA104726425		ERS2327808		2019-12-07T11:11:52.350			410658	soil metagenome	Crete soil metagenome
13478157	SAMEA104726426			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726426	SAMEA104726426		ERS2327809		2019-12-07T11:11:52.380			410658	soil metagenome	Crete soil metagenome
13478158	SAMEA104726427			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726427	SAMEA104726427		ERS2327810		2019-12-07T11:11:52.410			410658	soil metagenome	Crete soil metagenome
13478159	SAMEA104726428			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726428	SAMEA104726428		ERS2327811		2019-12-07T11:11:52.443			410658	soil metagenome	Crete soil metagenome
13478160	SAMEA104726429			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726429	SAMEA104726429		ERS2327812		2019-12-07T11:11:52.490			410658	soil metagenome	Crete soil metagenome
13478161	SAMEA104726430			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726430	SAMEA104726430		ERS2327813		2019-12-07T11:11:52.520			410658	soil metagenome	Crete soil metagenome
13478162	SAMEA104726431			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726431	SAMEA104726431		ERS2327814		2019-12-07T11:11:52.567			410658	soil metagenome	Crete soil metagenome
13478163	SAMEA104726432			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726432	SAMEA104726432		ERS2327815		2019-12-07T11:11:52.600			410658	soil metagenome	Crete soil metagenome
13478164	SAMEA104726433			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726433	SAMEA104726433		ERS2327816		2019-12-07T11:11:52.630			410658	soil metagenome	Crete soil metagenome
13478165	SAMEA104726434			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726434	SAMEA104726434		ERS2327817		2019-12-07T11:11:52.660			410658	soil metagenome	Crete soil metagenome
13478166	SAMEA104726435			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726435	SAMEA104726435		ERS2327818		2019-12-07T11:11:52.693			410658	soil metagenome	Crete soil metagenome
13478167	SAMEA104726436			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726436	SAMEA104726436		ERS2327819		2019-12-07T11:11:52.740			410658	soil metagenome	Crete soil metagenome
13478168	SAMEA104726437			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726437	SAMEA104726437		ERS2327820		2019-12-07T11:11:52.770			410658	soil metagenome	Crete soil metagenome
13478169	SAMEA104726438			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726438	SAMEA104726438		ERS2327821		2019-12-07T11:11:52.800			410658	soil metagenome	Crete soil metagenome
13478170	SAMEA104726439			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726439	SAMEA104726439		ERS2327822		2019-12-07T11:11:52.833			410658	soil metagenome	Crete soil metagenome
13478171	SAMEA104726440			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726440	SAMEA104726440		ERS2327823		2019-12-07T11:11:52.863			410658	soil metagenome	Crete soil metagenome
13478172	SAMEA104726441			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726441	SAMEA104726441		ERS2327824		2019-12-07T11:11:52.897			410658	soil metagenome	Crete soil metagenome
13478173	SAMEA104726442			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726442	SAMEA104726442		ERS2327825		2019-12-07T11:11:52.927			410658	soil metagenome	Crete soil metagenome
13478174	SAMEA104726443			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726443	SAMEA104726443		ERS2327826		2019-12-07T11:11:52.957			410658	soil metagenome	Crete soil metagenome
13478175	SAMEA104726444			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726444	SAMEA104726444		ERS2327827		2019-12-07T11:11:52.990			410658	soil metagenome	Crete soil metagenome
13478176	SAMEA104726445			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726445	SAMEA104726445		ERS2327828		2019-12-07T11:11:53.037			410658	soil metagenome	Crete soil metagenome
13478177	SAMEA104726446			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726446	SAMEA104726446		ERS2327829		2019-12-07T11:11:53.067			410658	soil metagenome	Crete soil metagenome
13478178	SAMEA104726447			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726447	SAMEA104726447		ERS2327830		2019-12-07T11:11:53.100			410658	soil metagenome	Crete soil metagenome
13478179	SAMEA104726448			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726448	SAMEA104726448		ERS2327831		2019-12-07T11:11:53.130			410658	soil metagenome	Crete soil metagenome
13478180	SAMEA104726449			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726449	SAMEA104726449		ERS2327832		2019-12-07T11:11:53.160			410658	soil metagenome	Crete soil metagenome
13478181	SAMEA104726450			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726450	SAMEA104726450		ERS2327833		2019-12-07T11:11:53.193			410658	soil metagenome	Crete soil metagenome
13478182	SAMEA104726451			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726451	SAMEA104726451		ERS2327834		2019-12-07T11:11:53.223			410658	soil metagenome	Crete soil metagenome
13478183	SAMEA104726452			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726452	SAMEA104726452		ERS2327835		2019-12-07T11:11:53.270			410658	soil metagenome	Crete soil metagenome
13478184	SAMEA104726453			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726453	SAMEA104726453		ERS2327836		2019-12-07T11:11:53.300			410658	soil metagenome	Crete soil metagenome
13478185	SAMEA104726454			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726454	SAMEA104726454		ERS2327837		2019-12-07T11:11:53.333			410658	soil metagenome	Crete soil metagenome
13478186	SAMEA104726455			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726455	SAMEA104726455		ERS2327838		2019-12-07T11:11:53.380			410658	soil metagenome	Crete soil metagenome
13478187	SAMEA104726456			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726456	SAMEA104726456		ERS2327839		2019-12-07T11:11:53.427			410658	soil metagenome	Crete soil metagenome
13478188	SAMEA104726457			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726457	SAMEA104726457		ERS2327840		2019-12-07T11:11:53.460			410658	soil metagenome	Crete soil metagenome
13478189	SAMEA104726458			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726458	SAMEA104726458		ERS2327841		2019-12-07T11:11:53.490			410658	soil metagenome	Crete soil metagenome
13478190	SAMEA104726459			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726459	SAMEA104726459		ERS2327842		2019-12-07T11:11:53.537			410658	soil metagenome	Crete soil metagenome
13478191	SAMEA104726460			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726460	SAMEA104726460		ERS2327843		2019-12-07T11:11:53.567			410658	soil metagenome	Crete soil metagenome
